연도,시도,주택소유 가구,무주택 가구,자가비율,평균자가비율
2019,세종특별자치시,69400,60264,0.5352295162882527,0.5381717641911734
2020,세종특별자치시,73011,66095,0.5248587408163559,0.5381717641911734
2021,세종특별자치시,77538,67757,0.5336591073333563,0.5381717641911734
2022,세종특별자치시,87761,66258,0.5698063225965627,0.5381717641911734
2015,경기도,2433305,1951437,0.5549482728972424,0.5561625324721816
2016,경기도,2466749,2017675,0.5500704215301675,0.5561625324721816
2017,경기도,2542649,2060301,0.5523955289542576,0.5561625324721816
2018,경기도,2642084,2109413,0.5560529660441751,0.5561625324721816
2019,경기도,2745423,2162237,0.5594158927065037,0.5561625324721816
2020,경기도,2842747,2255684,0.5575729082143114,0.5561625324721816
2021,경기도,2960542,2330120,0.5595787445881064,0.5561625324721816
2022,경기도,3023928,2383035,0.559265524842689,0.5561625324721816
2015,강원도,334031,272086,0.5510998701570818,0.566334055561024
2016,강원도,338824,277522,0.5497301840200147,0.566334055561024
2017,강원도,345955,274774,0.55733661549565106,0.566334055561024
2018,강원도,353035,275449,0.5617247217112926,0.566334055561024
2019,강원도,363552,270390,0.5734783308252175,0.566334055561024
2020,강원도,378696,282343,0.5728799662349725,0.566334055561024
2021,강원도,391373,283355,0.5800455887409445,0.566334055561024
2022,강원도,400237,284658,0.5843771673030173,0.566334055561024
2015,충청북도,348127,253729,0.5784224133347512,0.5794825062398576
2016,충청북도,351451,266463,0.5687700877468386,0.5794825062398576
2017,충청북도,362726,266347,0.576603987136628,0.5794825062398576
2018,충청북도,371224,269754,0.5791524826125077,0.5794825062398576
2019,충청북도,382876,271837,0.5847997519523822,0.5794825062398576
2020,충청북도,394482,284440,0.5810417102406462,0.5794825062398576
2021,충청북도,405681,289930,0.5832009557065659,0.5794825062398576
2022,충청북도,411548,293316,0.5838686611885413,0.5794825062398576
2015,충청남도,446466,349719,0.5607566080747565,0.5736521442655891
2016,충청남도,456199,357531,0.5606269892962039,0.5736521442655891
