연도,시도,시군구,자가비율
2016,세종특별자치시,세종시,0.522214725758464
2016,경기도,수원시,0.5302518427518428
2016,경기도,장안구,0.5873480199717955
2016,경기도,권선구,0.5157093181242468
2016,경기도,팔달구,0.46572810371458234
2016,경기도,영통구,0.5384325577205009
2016,경기도,성남시,0.4818069362100477
2016,경기도,수정구,0.3526086680895125
2016,경기도,중원구,0.45574052126259934
2016,경기도,분당구,0.5666838833982346
2016,경기도,의정부시,0.5577055186626975
2016,경기도,안양시,0.609100983785045
2016,경기도,만안구,0.5756732607195775
2016,경기도,동안구,0.6342916563674642
2016,경기도,부천시,0.5782369490054821
2016,경기도,광명시,0.5883346190108854
2016,경기도,평택시,0.5263715736278408
2016,경기도,동두천시,0.5472509526401742
2016,경기도,안산시,0.5002536704157853
2016,경기도,상록구,0.48640556436643456
2016,경기도,단원구,0.5170934627126413
2016,경기도,고양시,0.5687701993938784
2016,경기도,덕양구,0.543599328654257
2016,경기도,일산동구,0.513372827037001
2016,경기도,일산서구,0.6679669055000103
2016,경기도,과천시,0.5432087124605157
2016,경기도,구리시,0.577060606060606
2016,경기도,남양주시,0.5698063731717055
2016,경기도,오산시,0.4822507357876801
2016,경기도,시흥시,0.5573343210283002
2016,경기도,군포시,0.6037434839601264
2016,경기도,의왕시,0.5978214318964714
2016,경기도,하남시,0.490505662919456
2016,경기도,용인시,0.5981372584606822
2016,경기도,처인구,0.5412226234055046
2016,경기도,기흥구,0.5859647090341686
2016,경기도,수지구,0.653604653231114
2016,경기도,파주시,0.5100678021707631
2016,경기도,이천시,0.5730607498749307
2016,경기도,안성시,0.5190582799777547
2016,경기도,김포시,0.5527753275444885
2016,경기도,화성시,0.528419839674813
2016,경기도,광주시,0.6020851433536055
2016,경기도,양주시,0.5359707680415994
2016,경기도,포천시,0.5189820170364917
2016,경기도,여주시,0.5843003917510533
2016,경기도,연천군,0.5147424904574874
2016,경기도,가평군,0.5665735567970205
2016,경기도,양평군,0.6044328300425862
