,,,,,,,,,,,"단위 : 개, 명, 억원"
지역,대분류,중분류,기업수,,,종사자수,,,매출액,,
,,,2019년,2020년,2021년,2019년,2020년,2021년,2019년,2020년,2021년
전국,F.건설업(41~42),41.종합 건설업,"47,261 ","51,602 ","55,001 ","106,151 ","125,327 ","130,159 ","214,848 ","233,669 ","263,593 "
전국,F.건설업(41~42),42.전문직별 공사업,"407,585 ","431,836 ","465,238 ","728,713 ","744,565 ","790,464 ","947,235 ","955,429 ","1,071,622 "
전국,G.도매 및 소매업(45~47),소계,"1,578,496 ","1,700,412 ","1,845,255 ","2,335,460 ","2,396,552 ","2,556,642 ","3,932,001 ","4,015,885 ","4,400,729 "
전국,G.도매 및 소매업(45~47),45.자동차 및 부품 판매업,"36,402 ","37,358 ","38,449 ","60,427 ","60,570 ","61,255 ","163,583 ","158,621 ","169,776 "
전국,G.도매 및 소매업(45~47),46.도매 및 상품 중개업,"531,346 ","545,251 ","571,485 ","858,765 ","855,529 ","888,214 ","2,281,690 ","2,265,270 ","2,526,744 "
전국,G.도매 및 소매업(45~47),47.소매업; 자동차 제외,"1,010,748 ","1,117,803 ","1,235,321 ","1,416,268 ","1,480,453 ","1,607,173 ","1,486,728 ","1,591,993 ","1,704,209 "
전국,H.운수 및 창고업(49~52),소계,"606,491 ","618,668 ","635,262 ","683,578 ","704,006 ","723,736 ","584,885 ","587,868 ","657,512 "
전국,H.운수 및 창고업(49~52),49.육상 운송 및 파이프라인 운송업,"570,948 ","582,646 ","597,821 ","613,443 ","631,145 ","649,584 ","432,268 ","429,029 ","468,890 "
전국,H.운수 및 창고업(49~52),50.수상 운송업,"1,903 ","1,677 ","1,868 ","4,419 ","3,861 ","4,032 ","7,896 ","6,133 ","6,609 "
전국,H.운수 및 창고업(49~52),51.항공 운송업,67 ,32 ,33 ,145 ,80 ,87 ,438 ,267 ,330 
전국,H.운수 및 창고업(49~52),52.창고 및 운송관련 서비스업,"33,573 ","34,313 ","35,540 ","65,571 ","68,920 ","70,033 ","144,284 ","152,440 ","181,683 "
전국,I.숙박 및 음식점업(55~56),소계,"772,178 ","801,842 ","829,603 ","1,371,039 ","1,332,786 ","1,349,532 ","889,754 ","903,053 ","974,266 "
전국,I.숙박 및 음식점업(55~56),55.숙박업,"60,898 ","61,684 ","64,006 ","102,592 ","98,463 ","98,637 ","36,528 ","34,834 ","39,737 "
전국,I.숙박 및 음식점업(55~56),56.음식점 및 주점업,"711,280 ","740,158 ","765,597 ","1,268,447 ","1,234,323 ","1,250,895 ","853,226 ","868,219 ","934,529 "
전국,J.정보통신업(58~63),소계,"110,510 ","128,660 ","151,100 ","153,589 ","176,397 ","202,229 ","126,824 ","139,232 ","167,950 "
전국,J.정보통신업(58~63),58.출판업,"59,018 ","68,174 ","76,935 ","82,022 ","93,258 ","103,145 ","63,257 ","69,403 ","79,530 "
전국,J.정보통신업(58~63),59.영상ㆍ오디오 기록물 제작 및 배급업,"17,871 ","21,820 ","30,125 ","24,381 ","29,355 ","39,470 ","25,349 ","26,837 ","37,758 "
전국,J.정보통신업(58~63),60.방송업,956 ,940 ,992 ,"1,353 ","1,331 ","1,359 ","1,341 ","1,459 ","1,703 "
전국,J.정보통신업(58~63),61.우편 및 통신업,"1,768 ","1,767 ","1,837 ","3,115 ","3,106 ","3,171 ","3,080 ","2,709 ","3,102 "
전국,J.정보통신업(58~63),"62.컴퓨터 프로그래밍, 시스템 통합 및 관리업","19,770 ","22,974 ","26,609 ","27,673 ","32,022 ","35,991 ","24,105 ","27,453 ","32,607 "
전국,J.정보통신업(58~63),63.정보서비스업,"11,127 ","12,985 ","14,602 ","15,045 ","17,325 ","19,093 ","9,691 ","11,371 ","13,250 "
전국,K.금융 및 보험업(64~66),소계,"50,801 ","52,947 ","56,845 ","59,713 ","62,652 ","66,893 ","111,272 ","122,802 ","151,835 "
전국,K.금융 및 보험업(64~66),64.금융업,"16,907 ","18,943 ","22,124 ","19,201 ","21,506 ","24,864 ","79,697 ","90,578 ","114,946 "
전국,K.금융 및 보험업(64~66),65.보험 및 연금업,887 ,480 ,465 ,"1,082 ",610 ,575 ,921 ,329 ,305 
전국,K.금융 및 보험업(64~66),66.금융 및 보험관련 서비스업,"33,007 ","33,524 ","34,256 ","39,430 ","40,536 ","41,454 ","30,653 ","31,895 ","36,584 "
전국,L.부동산업(68),소계,"1,155,850 ","1,222,938 ","1,258,699 ","1,249,173 ","1,320,913 ","1,361,526 ","439,051 ","503,442 ","573,809 "
